HospitalName,Speciality,HospitalImage,Location
"Dr. Aggarwal's Eye Hospital, Navi Mumbai","Info Not Available","https://www.indicure.com/assets/img/2022/01/Dr-Aggarwal-eye-hospital-navi-mumbai.webp","Navi Mumbai"
"Insight Eye Clinic, Mumbai","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Insight-Eye-Clinic,-Mumbai.jpg.webp","Mumbai"
"Shroff Eye Hospital, Mumbai","Ophthalmology","https://www.indicure.com/assets/img/2022/02/Shroff-Eye-Hospital-Mumbai.jpg.webp","Mumbai"
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon"
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
"Kokilaben Dhirubhai Ambani Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Kokilaben-Dhirubhai-Ambani-Hospital-Mumbai.jpg.webp","Mumbai"
"Centre for Sight, Mumbai","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Centre-for-Sight-Eye-Hospital,-Juhu-Vile-Parle.jpg.webp","Mumbai"
"Apollo Spectra Hospital, Hyderabad","Multi-Speciality","https://www.indicure.com/assets/img/best-hospitals/Hyderabad/Apollo-Spectra-Hospital,-Hyderabad.jpg.webp","Hyderabad"
"Zamindar's Microsurgical Eye Hospital, Bangalore","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Bangalore/Dr-Zamindar_s-Microsurgical-Eye-Hospital,-Bangalore.jpg.webp","Bangalore"
"Centre for Sight, New Delhi","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Delhi/Center-for-sight,-New-Delhi.jpg.webp","New Delhi"
"Eye Q hospital, Gurgaon","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Gurgaon/Eye Q Hospital, Gurgaon.jpg.webp","Gurgaon"
"Centre for Sight, Gurgaon","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Gurgaon/Centre for Sight Eye Hospital, Sector 29, Gurgaon.jpg.webp","Gurgaon"
"Bharti Eye Hospital, New Delhi","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Delhi/Bharti-Eye-Hospital,-New-Delhi.jpg.webp","New Delhi"
"Centre for Sight, Rajouri Garden, Delhi","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Delhi/Center-for-sight,-New-Delhi.jpg.webp","New Delhi"
"Centre for Sight, Banjara Hills","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Hyderabad/Centre-for-Sight-Eye-Hospital,-Banjara-Hills,-Hyderabad.jpg.webp","Hyderabad"
"Apollo Hospital, Navi Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Mumbai.jpg.webp","Mumbai"
