HospitalName,Speciality,HospitalImage,Location
"Gleneagles Global Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Mumbai.jpg.webp","Mumbai"
"Apollo Hospital, Sheshadripuram, Bangalore","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Bangalore/Apollo-Hospital,-Sheshadripuram.jpg.webp","Bangalore"
"Wockhardt Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Wockhardt-Hospitals-360x223.jpg.webp","Mumbai"
"Pushpawati Singhania Research Institute, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Pushpawati-Singhania-Research-Institute,-New-Delhi.jpg.webp","New Delhi"
"Fortis Hospital, Noida","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Noida.jpg.webp","Delhi (NCR)"
"Manipal Hospital, Palam Vihar, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Manipal-Hospital-Formerly-Columbia-Asia-Palam-Vihar-Gurgaon.jpg.webp","Gurgaon"
"Max Super Speciality Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Max-Super-Specialty-Hospital-Gurgaon.jpg.webp","Gurgaon"
"Fortis Hospital, Nagarbhavi, Bangalore","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Bangalore/Fortis Hospital.jpg.webp","Bangalore"
"Apollo Hospital, DRDO, Hyderabad","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Hyderabad/Apollo-Hospital-DRDO.jpg.webp","Hyderabad"
"Fortis Hospital, Cunningham Road, Bangalore","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Bangalore/Fortis-Hospital,-Cunningham-Road.jpg.webp","Bangalore"
"Venkateshwar Hospital, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/03/Venkateshwar-Hospital-New-Delhi.jpg.webp","New Delhi"
"Batra Hospital & Medical Research Centre, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Batra-Hospital-_-Medical-Research-Centre,-New-Delhi.jpg.webp","New Delhi"
"Care Hospitals, Banjara Hills","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Hyderabad/Care-Hospitals,-Banjara-Hills,-Hyderabad.jpg.webp","Hyderabad"
"Primus Super Speciality Hospital, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Primus-Super-Speciality-Hospital,-New-Delhi.jpg.webp","New Delhi"
"Sharda Hospital, Noida, Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Sharda-Hospital,-Noida.jpg.webp","Delhi (NCR)"
"Metro Hospital, Faridabad, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Metro-Hospital,-Faridabad.jpg.webp","New Delhi (NCR)"
