HospitalName,Speciality,HospitalImage,Location
"Fortis Escorts Heart Institute, Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Escorts-Hospital-360x223.jpg.webp","New Delhi"
"Indraprastha Apollo Hospital","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Indraprastha-Apollo-Hospital-360x223.jpg.webp","New Delhi"
"Artemis Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Artemis-Health-Institute-360x223.jpg.webp","Gurgaon"
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon"
"Gleneagles Global Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Mumbai.jpg.webp","Mumbai"
"Fortis Hospital, Bannerghatta Road, Bangalore","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Baneerghatta-Road.jpg.webp","Bangalore"
"Fortis Hospital, Noida","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Noida.jpg.webp","Delhi (NCR)"
"Asian Heart Institute, Mumbai","Cardiology & Cardiac Surgery","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Asian-Heart-Institute,-Mumbai.jpg.webp","Mumbai"
"Medanta Medicity, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Medanta-Medicity-360x223.jpg.webp","Gurgaon"
"Apollo Hospitals, Greams Road, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Chennai.jpg.webp","Chennai"
"Kokilaben Dhirubhai Ambani Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Kokilaben-Dhirubhai-Ambani-Hospital-Mumbai.jpg.webp","Mumbai"
"Apollo Hospital, Jubilee Hills, Hyderabad","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Jubilee-Hills-Hyderabad.jpg.webp","Hyderabad"
"Max Superspeciality Hospital, Shalimar Bagh, Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Max-Super-Speciality-hospital-Shalimar-Bagh-New-Delhi-1.jpg.webp","Delhi"
