HospitalName,Speciality,HospitalImage,Location
"Apollo Hospital, Navi Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Mumbai.jpg.webp","Mumbai"
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon"
"Indraprastha Apollo Hospital","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Indraprastha-Apollo-Hospital-360x223.jpg.webp","New Delhi"
"Wockhardt Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Wockhardt-Hospitals-360x223.jpg.webp","Mumbai"
"Apollo Proton Cancer Centre, Chennai","Oncology","https://www.indicure.com/assets/img/best-hospitals/Chennai/Apollo-Proton-Cancer-Centre,-Chennai.jpg.webp","Chennai"
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
"Gleneagles Global Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Mumbai.jpg.webp","Mumbai"
"Artemis Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Artemis-Health-Institute-360x223.jpg.webp","Gurgaon"
"Nanavati Max Super Speciality Hospital","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Nanavati-Super-Speciality-Hospital,-Mumbai.jpg.webp","Mumbai"
"Apollo Hospital, Greams Road, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Greams-Road-Chennai.jpg.webp","Chennai"
"Fortis Hospital, Mulund, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Mulund-Mumbai.jpg.webp","Mumbai"
"Medanta Medicity, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Medanta-Medicity-360x223.jpg.webp","Gurgaon"
"Aster CMI Hospital, Hebbal, Bangalore","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Aster-CMI-360x223.jpg.webp","Bangalore"
"Fortis Escorts Heart Institute, Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Escorts-Hospital-360x223.jpg.webp","New Delhi"
"HCG Cancer Hospital, Mumbai","Oncology","https://www.indicure.com/assets/img/best-hospitals/Mumbai/HCG-Cancer-Centre,-Mumbai.jpg.webp","Mumbai"
"Max Super Speciality Hospital, Saket, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
