HospitalName,Speciality,HospitalImage,Location
"Indraprastha Apollo Hospital","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Indraprastha-Apollo-Hospital-360x223.jpg.webp","New Delhi"
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon"
"Artemis Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Artemis-Health-Institute-360x223.jpg.webp","Gurgaon"
"Fortis Escorts Heart Institute, Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Escorts-Hospital-360x223.jpg.webp","New Delhi"
"Fortis Hospital, Noida","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Noida.jpg.webp","Delhi (NCR)"
"Manipal Hospital, Palam Vihar, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Manipal-Hospital-Formerly-Columbia-Asia-Palam-Vihar-Gurgaon.jpg.webp","Gurgaon"
"Fortis Flt. Rajan Dhall Hospital, Vasant Kunj, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Fortis-Flt.-Lt.-Rajan-Dhall-Hospital,-Vasant-Kunj,-New-Delhi.jpg.webp","New Delhi"
"Max Super Speciality Hospital, Saket, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
"Fortis Hospital, Shalimar Bagh","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Shalimar-Bagh-New-Delhi.jpg.webp","Delhi"
"Fortis La Femme, Vasant Kunj, Delhi","Multi-Speciality","https://www.indicure.com/assets/img/2022/02/Fortis-La-Femme-New-Delhi.jpg.webp","Delhi"
"CK Birla Hospital","Multi-Speciality","https://www.indicure.com/assets/img/2022/02/ck-birla-hospital.jpg.webp","New Delhi"
"Medanta Medicity, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Medanta-Medicity-360x223.jpg.webp","Gurgaon"
"Apollo Spectra Hospital, Karol Bagh","Multi-speciality","https://www.indicure.com/assets/img/2022/02/Apollo-Spectra-Delhi.jpg.webp","New Delhi"
"La Midas Hospital, Gurgaon","Specializes in Aesthetic Surgery","https://www.indicure.com/assets/img/best-hospitals/Gurgaon/La Midas, Gurgaon.jpg.webp","Gurgaon"
"Madhukar Rainbow Children's Hospital, Delhi","Women and Children's Hospital","https://www.indicure.com/assets/img/best-hospitals/Delhi/Madhukar-Rainbow-Children_s-Hospital,-New-Delhi.jpg.webp","New Delhi"
"Indian Spinal Injuries Centre, New Delhi","Multi-speciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Indian-Spinal-Injuries-Center,-New-Delhi.jpg.webp","New Delhi"
"Max Super Speciality Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Max-Super-Specialty-Hospital-Gurgaon.jpg.webp","Gurgaon"
"Venkateshwar Hospital, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/03/Venkateshwar-Hospital-New-Delhi.jpg.webp","New Delhi"
"Metro Hospital, Faridabad, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Metro-Hospital,-Faridabad.jpg.webp","New Delhi (NCR)"
"Fortis Escorts Hospital, Faridabad, Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Escorts-Faridabad.jpg.webp","Delhi (NCR)"
"Max Super Speciality Hospital, Patparganj","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/03/max-super-specialty-hospital-patparganj-1.jpg.webp","Delhi"
"Manipal Hospital, Dwarka","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Manipal-Hospital-Dwarka-Delhi.jpg.webp","New Delhi"
"Paras Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/03/Paras-Hospital-Gurgaon.jpg.webp","Gurgaon"
"Max Superspeciality Hospital, Shalimar Bagh, Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Max-Super-Speciality-hospital-Shalimar-Bagh-New-Delhi-1.jpg.webp","Delhi"
"IBS Institute of Brain & Spine, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/03/IBS-Institute-of-Brain-and-Spine-New-Delhi.jpg.webp","New Delhi"
"Batra Hospital & Medical Research Centre, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Batra-Hospital-_-Medical-Research-Centre,-New-Delhi.jpg.webp","New Delhi"
"Pushpawati Singhania Research Institute, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Pushpawati-Singhania-Research-Institute,-New-Delhi.jpg.webp","New Delhi"
"Medeor Hospital, Formerly known as Rockland Hospital, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Medeor-Hospital,-Qutab,-New-Delhi.jpg.webp","New Delhi"
"Metro Hospital & Heart Institute, Faridabad","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/RLKC-Hospital-Metro-Heart-Institute-Pandav-Nagar-Delhi.jpg.webp","Delhi (NCR)"
"Primus Super Speciality Hospital, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Primus-Super-Speciality-Hospital,-New-Delhi.jpg.webp","New Delhi"
"Saroj Super Speciality Hospital, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Saroj-Super-Speciality-Hospital.jpg.webp","New Delhi"
"Sarvodya Hospital, Faridabad","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Sarvodaya-Hospital,-Faridabad.jpg.webp","Delhi (NCR)"
"Metro Hospital, Noida","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Metro-Hospital,-Noida.jpg.webp","New Delhi (NCR)"
"Asian Institute of Medical Sciences, Faridabad","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Asian-Institute-of-Medical-Science,-Faridabad.jpg.webp","Delhi (NCR)"
"Apollo Spectra Hospital, Nehru Enclave, New Delhi","Multi-Speciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Apollo-Spectra,-Delhi.jpg.webp","New Delhi"
"Institute of Liver & Biliary Sciences, New Delhi","Hepatology Hospital (Liver & Biliary Illnesses)","https://www.indicure.com/assets/img/best-hospitals/Delhi/Institute-of-Liver-and-Biliary-Sciences,-New-Delhi.jpg.webp","New Delhi"
"Metro Hospital & Cancer Centre, Preet Vihar, Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Metro Hospital & Cancer Centre.jpg.webp","Delhi"
"Rajiv Gandhi Cancer Institute & Research Centre","Cancer Treatment Hospital","https://www.indicure.com/assets/img/best-hospitals/Delhi/Rajiv-Gandhi-Cancer-Institute-and-Research-Centre,-New-Delhi.jpg.webp","New Delhi"
"Jaypee Hospital, Noida","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Jaypee-Hospital-Noida.jpg.webp","Delhi (NCR)"
