HospitalName,Speciality,HospitalImage,Location,Description
"Gleneagles Global Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Mumbai.jpg.webp","Mumbai","Gleneagles Global hospital in Mumbai, which is the latest addition to the geographical footprints of the Gleneagles group in India, offers comprehensive cardiac care to its patients.With a track record of nearly 4000 cardiac procedures, the cardiac centre of excellence proudly stands as one of India's premier cardiac centres, specializing in cardiology and cardiovascular thoracic surgeries. Whether it is minimally invasive techniques or the most intricate heart transplant surgeries, the hospital possesses the necessary infrastructure and proficiency to handle them all.Equipped with state-of-the-art surgical suites, post-surgery intensive care units, and advanced diagnostic facilities, the hospital has established itself as a top destination for heart health in Mumbai."
"Apollo Hospital, Navi Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Mumbai.jpg.webp","Mumbai","Apollo Hospital, Navi Mumbai is the newest addition to the Apollo group having started its operations in 2016. It is a 500 bedded super-specialty tertiary care facility catering to Navi Mumbai and various suburbs of Mumbai.It is one of the most advanced multi-specialty tertiary care hospitals in the city, providing a wide range of treatments all under one roof. This is the Apollo Group's 66th hospital, which has been accredited by the National Accreditation Board for Hospitals (NABH) and Joint Commission International (JCI). It is equipped with cutting-edge technology and meets international standards making it one of the best hospital in Mumbai."
"Dr. Rela's Institute & Medical Centre, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Dr.-Rela-Institute-and-Medical-Centre-Chennai.jpg.webp","Chennai","Dr. Rela Institute and Medical Centre, founded by renowned liver transplant surgeon Dr. Mohamed Rela, is a quaternary care hospital dedicated to meeting the requirements of a broad group of patients.Dr. Rela, the hospital's creator, set a global record when he performed a liver transplant on a 5-day-old baby, earning him a place in the Guinness Book of Records. The hospital has 450 beds, including 130 critical care beds, 14 operating rooms, imaging facilities, and modern reference laboratories, and is conveniently located near the airport, rail, and road."
"Indraprastha Apollo Hospital","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Indraprastha-Apollo-Hospital-360x223.jpg.webp","New Delhi","Indraprastha Apollo, New Delhi is a multi-specialty tertiary-care facility and is one of the most sought-after healthcare destinations in Asia. Indraprastha Apollo was the first hospital in India to be accredited by JCI. Spread over 15 acres, Apollo Delhi is one of the most modern and state-of-the-art facilities situated in the posh South Delhi. Considered to be the flagship hospital of Apollo group, Indraprastha Apollo Hospital is one of the important landmarks not only in Delhi but on the world map because of its popularity among medical tourists.Spread over 15 acres, Indraprastha Apollo has a built-up area of over 600,000 square feet. The hospital offers more than 50 specialties under one roof and is very well equipped to handle even the most complicated surgical procedures like Whipple surgery, or even Pancreas transplant surgery or a Lung transplant."
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon","Fortis Memorial Research Institute (FMRI), the flagship hospital of Fortis Healthcare, is a multi-specialty, quaternary care hospital and is counted among not only the best hospitals in New Delhi, but also one of the best hospitals in India and the world.The hospital is located in Gurgaon or NCR (National Capital Region), on the outskirts of Delhi. Besides being a premium referral healthcare facility, it endeavors to be the 'Mecca of Healthcare' for the Asia Pacific and beyond.The hospital is set on a spacious 11 acres campus, with 1000 beds, is equipped with state-of-the-art technology. FMRI is the first to bring the most advanced technology not only in India or Asia, but few are the first to be introduced in the world."
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi","BL Kapur Memorial Hospital was one of the biggest standalone private hospitals in Delhi, NCR, now taken over by Max Group of hospitals. Established by late Dr. B L Kapur, an eminent Obstetrician, and Gynecologist on invitation by then Prime Minister of India, Mr. Jawahar Lal Nehru. The institute went on to become one of Delhi's premier multi-specialty hospitals. BLK Max Hospital has consistently ranked among the Top 10 Multi Super Speciality Hospitals in India.Accredited by JCI, USA, the institute has 650 beds with dedicated 125 critical care beds and over 150 specialties making it one of the best hospitals in New Delhi and India. Equipped with the most advanced technology, BLK is well renowned for Bone Marrow Transplants and other highly specialized treatments like Heart transplant."
"Kokilaben Dhirubhai Ambani Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Kokilaben-Dhirubhai-Ambani-Hospital-Mumbai.jpg.webp","Mumbai","Kokilaben Dhirubhai Ambani Hospital stands as one of India's most cutting-edge and contemporary medical facilities. Situated in the largest suburb of Mumbai, it is a state-of-the-art tertiary care multi-specialty hospital.Cardiology and Cardiac care are one of the hospital's major specialties. The cardiac centre of excellence offers a comprehensive program that covers the full spectrum of heart disease management, spanning from new-borns to adults. This program encompasses prevention, diagnosis, treatment, and rehabilitation services.This best heart hospital in India is backed by accomplished experts who have performed more than 1700 Coronary Angioplasties and 6200 Cardiac Surgeries."
"Gleneagles Global Health City, Perumbakkam, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Chennai.jpg.webp","Chennai","Global Health City, Chennai is the flagship and largest hospital of Gleneagles hospitals in India. Spread over 21 acres, the hospital has over 1000 beds and has accreditations from many international agencies.The hospital is a super-specialty quaternary care facility, offering best-in-class services using cutting-edge technology and highly skilled and experienced healthcare professionals. The hospital attracts a lot of international patients and is most famous and renowned for kidney and liver transplants in India."
"Medanta Medicity, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Medanta-Medicity-360x223.jpg.webp","Gurgaon","Medanta The Medicity is a renowned multi-specialty hospital in Gurgaon, India, known for providing comprehensive cardiac care. Medanta was established by Dr. Naresh Trehan in 2009, a renowned Cardiovascular and Cardiothoracic surgeon, after he returned to India post his long stint in USA.The hospital has received various national and international accreditations, including Joint Commission International from USA, reflecting its commitment to quality and safety standards.The hospital has dedicated cardiac surgery units with advanced operating theatres for a variety of heart surgeries, including coronary artery bypass grafting (CABG), valve repair or replacement, and heart transplant surgery."
"Apollo Hospital, Jubilee Hills, Hyderabad","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Jubilee-Hills-Hyderabad.jpg.webp","Hyderabad","Apollo Heart Institute at Apollo Hospital, Hyderabad comprises a committed group of healthcare professionals, including doctors and medical staff, who spearhead the most extensive range of cardiac services in the region. The services encompass diagnostics and preventive healthcare, emergency medical care, as well as in-patient and post-operative care.The hospital has consistently pioneered advancements in various specialized fields such as interventional cardiology, cardiac surgery, structural heart interventions, pediatric surgery, electrophysiology, robotic surgical procedures, robotic cardiology, and heart transplantation.With over 1.5 lakh cardiac procedures performed with a success rate of around 99%, Apollo Hospital Hyderabad stands tall in the field of cardiac care."
