HospitalName,Speciality,HospitalImage,Location
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon"
"Apollo Hospital, Navi Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Mumbai.jpg.webp","Mumbai"
"Wockhardt Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Wockhardt-Hospitals-360x223.jpg.webp","Mumbai"
"Gleneagles Global Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Mumbai.jpg.webp","Mumbai"
"Indraprastha Apollo Hospital","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Indraprastha-Apollo-Hospital-360x223.jpg.webp","New Delhi"
"Fortis Hospital, Mulund, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Mulund-Mumbai.jpg.webp","Mumbai"
"Sir HN Reliance Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Sir-HN-Reliance-Foundation-Hospital,-Mumbai.jpg.webp","Mumbai"
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
"Artemis Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Artemis-Health-Institute-360x223.jpg.webp","Gurgaon"
"Max Super Speciality Hospital, Saket, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
"Medanta Medicity, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Medanta-Medicity-360x223.jpg.webp","Gurgaon"
"Fortis Malar Hospital, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Malar-Hospital-Chennai.jpg.webp","Chennai"
"Apollo Hospital, Greams Road, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Greams-Road-Chennai.jpg.webp","Chennai"
"Kokilaben Dhirubhai Ambani Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Kokilaben-Dhirubhai-Ambani-Hospital-Mumbai.jpg.webp","Mumbai"
"Brains Neuro Spine Centre, Bangalore","Neuro & Spine","https://www.indicure.com/assets/img/best-hospitals/Bangalore/Brain_s-Neuro-Spine-Centre,-Bangalore.jpg.webp","Bangalore"
"Gleneagles Global Hospital, Kengri, Bangalore","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Gleneagles-Hospital-Bangalore.jpg.webp","Bangalore"
"Venkateshwar Hospital, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/03/Venkateshwar-Hospital-New-Delhi.jpg.webp","New Delhi"
"Paras Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/03/Paras-Hospital-Gurgaon.jpg.webp","Gurgaon"
"Neurogen Brain & Spine Institute, Mumbai","Stem Cell Treatment & Neuro Rehabilitation","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Neurogen-Brain-and-Spine-Institute,-Mumbai.jpg.webp","Mumbai"
"IBS Institute of Brain & Spine, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/03/IBS-Institute-of-Brain-and-Spine-New-Delhi.jpg.webp","New Delhi"
