HospitalName,Speciality,HospitalImage,Location,Description
"Wockhardt Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Wockhardt-Hospitals-360x223.jpg.webp","Mumbai","Wockhardt Hospitals is the hospital branch of the leading Wockhardt pharmaceutical company in India. The company is more than 4 decades old and is present in more than 20 countries around the globe. Wockhardt has 9 facilities in India in Mumbai, Nagpur, Rajkot, Nasik, and Surat.Wockhardt Hospital, South Mumbai is one of the most famous and advanced facilities of the Wockhardt group. Accredited by JCI, NABH and NABL, Wockhardt hospital, South Mumbai is a tertiary care multi super-specialty hospital offering state-of-the-art facilities and international standards of care.In pursuance of its vision to establish state-of-the-art medical facilities in India along with a high degree of clinical excellence, the hospital has entered into strategic alliances with Partners Medical International, USA, whereby Wockhardt has access to Harvard's expertise and experience in the fields of surgery and other Medicare services, making it one of the best hospitals in Mumbai."
"Artemis Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Artemis-Health-Institute-360x223.jpg.webp","Gurgaon","Artemis Health Institute is an initiative by the owners of Apollo Tyres into healthcare. Spread over 9 acres, Artemis is a 300 bedded multi-super specialty tertiary care hospital located at Gurgaon, in the National Capital Region, Delhi. Artemis was the first hospital in Haryana to get NABH accreditation within 3 years of its start-up. The hospital then added another feather in its cap in a few years of its startup- Artemis got the gold standard in healthcare accreditation – JCI, USA accreditation and became the first and only hospital in Gurgaon to be accredited by Joint Commission International (JCI, USA) in 2013.Besides having a robust infrastructure, Artemis hospital offers the most modern techniques for treatment and the most advanced surgical procedures."
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi","BL Kapur Memorial Hospital was one of the biggest standalone private hospitals in Delhi, NCR, now taken over by Max Group of hospitals. Established by late Dr. B L Kapur, an eminent Obstetrician, and Gynecologist on invitation by then Prime Minister of India, Mr. Jawahar Lal Nehru. The institute went on to become one of Delhi's premier multi-specialty hospitals. BLK Max Hospital has consistently ranked among the Top 10 Multi Super Speciality Hospitals in India.Accredited by JCI, USA, the institute has 650 beds with dedicated 125 critical care beds and over 150 specialties making it one of the best hospitals in New Delhi and India. Equipped with the most advanced technology, BLK is well renowned for Bone Marrow Transplants and other highly specialized treatments like Heart transplant."
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon","Fortis Memorial Research Institute (FMRI), the flagship hospital of Fortis Healthcare, is a multi-specialty, quaternary care hospital and is counted among not only the best hospitals in New Delhi, but also one of the best hospitals in India and the world.The hospital is located in Gurgaon or NCR (National Capital Region), on the outskirts of Delhi. Besides being a premium referral healthcare facility, it endeavors to be the 'Mecca of Healthcare' for the Asia Pacific and beyond.The hospital is set on a spacious 11 acres campus, with 1000 beds, is equipped with state-of-the-art technology. FMRI is the first to bring the most advanced technology not only in India or Asia, but few are the first to be introduced in the world."
"Apollo Hospital, Navi Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Mumbai.jpg.webp","Mumbai","Apollo Hospital, Navi Mumbai is the newest addition to the Apollo group having started its operations in 2016. It is a 500 bedded super-specialty tertiary care facility catering to Navi Mumbai and various suburbs of Mumbai.It is one of the most advanced multi-specialty tertiary care hospitals in the city, providing a wide range of treatments all under one roof. This is the Apollo Group's 66th hospital, which has been accredited by the National Accreditation Board for Hospitals (NABH) and Joint Commission International (JCI). It is equipped with cutting-edge technology and meets international standards making it one of the best hospital in Mumbai."
"Gleneagles Global Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Mumbai.jpg.webp","Mumbai","Gleneagles Global hospital in Mumbai, which is the latest addition to the geographical footprints of the Gleneagles group in India, offers comprehensive cardiac care to its patients.With a track record of nearly 4000 cardiac procedures, the cardiac centre of excellence proudly stands as one of India's premier cardiac centres, specializing in cardiology and cardiovascular thoracic surgeries. Whether it is minimally invasive techniques or the most intricate heart transplant surgeries, the hospital possesses the necessary infrastructure and proficiency to handle them all.Equipped with state-of-the-art surgical suites, post-surgery intensive care units, and advanced diagnostic facilities, the hospital has established itself as a top destination for heart health in Mumbai."
"Apollo Spectra Hospital, Karol Bagh","Multi-speciality","https://www.indicure.com/assets/img/2022/02/Apollo-Spectra-Delhi.jpg.webp","New Delhi","With a bed capacity of 16, this cutting-edge speciality hospital is dedicated to bringing together state of the art medical services and personalized care for its patients. Bariatric Surgery, Obstetrics & Gynaecology, ENT, General & Laparoscopic Surgery, Orthopaedics & Spine and Urology are just a handful of the surgical specialties available at the hospital. The hospital has 4 ultra-modern modular OTs, a state-of-the-art rehabilitation centre, an in-house pharmacy, and a waiting lounge for in-patients' families, to mention a few amenities.The hospital also offers Vascular surgery for treatment of varicose veins using Endovascular Laser Treatment, occlusion of radiofrequency, or varicose veins surgery.Over 100 healthcare experts, including 50 specialty specialists, are dedicated to setting a new standard in healthcare services with the single-minded goal of providing uncomplicated quality healthcare."
"Manipal Hospital, Palam Vihar, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Manipal-Hospital-Formerly-Columbia-Asia-Palam-Vihar-Gurgaon.jpg.webp","Gurgaon","Manipal Hospital, formerly Columbia Asia, Palam Vihar is a 90 bedded, NABH accredited multi-specialty facility located in upmarket Palam Vihar in NCR Delhi, located in close vicinity to the airport. The hospital has an international level infrastructure and adheres to globally benchmarked medical, nursing, and operating practices. It is one of Gurgaon's most popular healthcare service providers.Obstetrics & Gynecology, Internal Medicine, General Surgery, Paediatrics, Ophthalmology, Ear, Nose & Throat, Urology, Gastroenterology, Plastic Surgery Orthopaedics, Dermatology, Smoking Session Clinic, Sleep Lab, Cardiology, Neurosurgery & Spine Surgery, Pulmonology are some of the clinical services available at the hospital."
"Indian Spinal Injuries Centre, New Delhi","Multi-speciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Indian-Spinal-Injuries-Center,-New-Delhi.jpg.webp","New Delhi","The Indian Spinal Injuries Centre, which is NABH and NABL accredited, is India's most advanced Spine surgery, Orthopaedic, and Arthroscopic Surgical Centre. Every year, it treats nearly 200,000 patients from 55 countries.It has state-of-the-art facilities and a highly qualified team of doctors who have received training at premier Indian and foreign institutes. The Indian Spinal Injuries Centre has cutting-edge technology for treating all forms of spinal injuries. It features a dedicated staff of internationally qualified and renowned spine surgeons who use cutting-edge medical and surgical technology, making it one of its kind and one of the best hospitals in New Delhi."
"Apollo Spectra Hospital, Nehru Enclave, New Delhi","Multi-Speciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Apollo-Spectra,-Delhi.jpg.webp","New Delhi","Apollo Spectra, Nehru Enclave is a state-of-the-art speciality hospital, which has a capacity of 22 beds, and is dedicated to offering world-class medical services and best healthcare management techniques to India. Bariatric Surgery, ENT, General & Laparoscopic Surgery, Orthopedics & Spine, Urology, and Varicose Veins treatment are just a handful of the surgical specializations available at the speciality hospital.The Apollo Spectra Hospital is a 22500 sq. ft. facility that has 4 ultra-modern modular OTs, a state-of-the-art rehabilitation centre, an in-house pharmacy, and a waiting space for in-patients' families, to name a few. Due to having over 110 healthcare experts, including 65 specialty specialists, who are dedicated to setting a new standard in healthcare services with the single-minded goal of providing uncomplicated quality healthcare, this hospital is considered as one of the best hospitals in New Delhi."
