HospitalName,Speciality,HospitalImage,Location,Description
"Apollo Proton Cancer Centre, Chennai","Oncology","https://www.indicure.com/assets/img/best-hospitals/Chennai/Apollo-Proton-Cancer-Centre,-Chennai.jpg.webp","Chennai","The Apollo Proton Cancer Centre (APCC) is South Asia's and the Middle East's first and only proton therapy centre, as well as India's first JCI-accredited cancer hospital. The APCC includes a completely integrated treatment suite that provides the most advanced surgical, radiation, and medical procedures available. The Centre brings together a remarkable team of clinicians renowned globally in cancer care, in keeping with the Apollo Pillars of Expertise and Excellence."
"HCG Cancer Hospital, Mumbai","Oncology","https://www.indicure.com/assets/img/best-hospitals/Mumbai/HCG-Cancer-Centre,-Mumbai.jpg.webp","Mumbai","HCG Cancer Centre is the first dedicated cancer hospital in Mumbai giving a top-quality treatment by using worldwide advancements. In the state of Maharashtra, it is the first centre to launch the Elekta Versa HD Radiation Machine. This machine has agility, which allows for a high-speed, high-precision beam to precisely target the tumor. The hospital is NABH accredited.HCG Centre, Mumbai is the first hospital in Western India to use CyberKnife, the world's first whole-body robotic radiosurgery technology. The Radixact TomoTherapy Radiation Therapy machine was also introduced in Mumbai.A dedicated hemato-oncology unit with a Bone Marrow Transplant program is available at the hospital. Thyroid and prostate cancers are treated with high-dose isotope therapies at the department. The hospital's Nuclear medicine section contains modern PET Scan machines amongst other things making it one of the best hospitals in Mumbai."
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon","Fortis Memorial Research Institute (FMRI), the flagship hospital of Fortis Healthcare, is a multi-specialty, quaternary care hospital and is counted among not only the best hospitals in New Delhi, but also one of the best hospitals in India and the world.The hospital is located in Gurgaon or NCR (National Capital Region), on the outskirts of Delhi. Besides being a premium referral healthcare facility, it endeavors to be the 'Mecca of Healthcare' for the Asia Pacific and beyond.The hospital is set on a spacious 11 acres campus, with 1000 beds, is equipped with state-of-the-art technology. FMRI is the first to bring the most advanced technology not only in India or Asia, but few are the first to be introduced in the world."
"Fortis S L Raheja Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Mumbai/S.-L.-Raheja-Hospital,-Mumbai-5.jpg.webp","Mumbai","S. L. Raheja Hospital, Mumbai, was founded in 1981 and is a super specialty hospital in Mahim's suburbs. It is known for providing world-class care in a variety of specialties, including neurology, cardiology, orthopedics, spine, oncology, and minimally invasive surgery.It is one of the few institutions in Mumbai to offer specialized hyperbaric oxygen therapy for diabetic patients, and it is NABH and NABL accredited. Oncology and diabetes are two of the hospital's specialties. The medical and surgical oncologists are represented by eight and nineteen experts respectively. There are 11 medical and 3 surgical endocrinologists on staff.The operating rooms and catheterization labs are outfitted with cutting-edge technology that meets worldwide standards making it one of the best hospitals in Mumbai."
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi","BL Kapur Memorial Hospital was one of the biggest standalone private hospitals in Delhi, NCR, now taken over by Max Group of hospitals. Established by late Dr. B L Kapur, an eminent Obstetrician, and Gynecologist on invitation by then Prime Minister of India, Mr. Jawahar Lal Nehru. The institute went on to become one of Delhi's premier multi-specialty hospitals. BLK Max Hospital has consistently ranked among the Top 10 Multi Super Speciality Hospitals in India.Accredited by JCI, USA, the institute has 650 beds with dedicated 125 critical care beds and over 150 specialties making it one of the best hospitals in New Delhi and India. Equipped with the most advanced technology, BLK is well renowned for Bone Marrow Transplants and other highly specialized treatments like Heart transplant."
"Fortis Hospital, Noida","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Noida.jpg.webp","Delhi (NCR)","The NABH accredited hospital of Fortis group in Noida was started in 2004 and is the only Fortis Escorts' Heart Command Centre in the entire UP. It is the only corporate facility in the area that offers a full range of services, from diagnostics to organ transplantation (kidney transplant and liver transplant).Cardiac, Neurological, Gastroenterological, and Renal Joint Therapeutic Services are available. The Cardiac Centre of Excellence at Fortis Noida has earned a great reputation because of its exceptional team and the results even in the most complex cardiac cases.Renal Science and Liver Transplant have also risen to become the most important referral centres."
"Kokilaben Dhirubhai Ambani Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Kokilaben-Dhirubhai-Ambani-Hospital-Mumbai.jpg.webp","Mumbai","Kokilaben Dhirubhai Ambani Hospital stands as one of India's most cutting-edge and contemporary medical facilities. Situated in the largest suburb of Mumbai, it is a state-of-the-art tertiary care multi-specialty hospital.Cardiology and Cardiac care are one of the hospital's major specialties. The cardiac centre of excellence offers a comprehensive program that covers the full spectrum of heart disease management, spanning from new-borns to adults. This program encompasses prevention, diagnosis, treatment, and rehabilitation services.This best heart hospital in India is backed by accomplished experts who have performed more than 1700 Coronary Angioplasties and 6200 Cardiac Surgeries."
"Rajiv Gandhi Cancer Institute & Research Centre","Cancer Treatment Hospital","https://www.indicure.com/assets/img/best-hospitals/Delhi/Rajiv-Gandhi-Cancer-Institute-and-Research-Centre,-New-Delhi.jpg.webp","New Delhi","The Rajiv Gandhi Cancer Institute and Research Centre was established in 1996 and is one of Asia's leading cancer treatment institutes. It has continuously been named among India's Best Oncology Hospitals (Week - Nielsen Survey 2014, 2015, 2016) and has received numerous honors, including Best Oncology Hospital in India (2014), Healthcare Leader Award (2014), and India's Most Trusted Cancer Hospital (2014), (2016)."
"HCG Hospital, Koramangala, Bangalore","Oncology","https://www.indicure.com/assets/img/2022/02/HCG-Hospital-Bangalore-1.jpg.webp","Bangalore","HCG, HealthCare Global Enterprises Ltd, is the specialized chain of hospitals in cancer care headquartered in Bangalore. Founded by Dr. Ajaikumar, a renowned medical and radiation oncologist with 40 years of experience, HCG has 26 centres across India with its largest facility in Bangalore.HCG Hospital Bangalore is not only the most advanced facility for cancer care in India, it is a Centre of Excellence for most advanced cancer care and research. HCG has been instrumental in bringing high-end technologies like CyberKnife and TrueBeam to India, besides advanced bone marrow transplant therapies and molecular imaging. The group also has many firsts to its credit."
"Cancer Institute, Adyar","Oncology","https://www.indicure.com/assets/img/best-hospitals/Chennai/Cancer-Institute-(WIA)-Adyar,-Chennai.jpg.webp","Chennai","Cancer Institute (WIA), also known as Adyar Cancer Institute, became the Regional Cancer Centre in 1974. The Ministry of Health and Family Welfare designated it as a 'Centre of Excellence' in 1974. Dr. Muthulakshmi Reddy, India's first female medical graduate, started the hospital. The hospital, research division, division of preventive oncology, and college of oncological sciences are all part of the Institute."
