HospitalName,Speciality,HospitalImage,Location,Description
"Dr. Aggarwal's Eye Hospital, Navi Mumbai","Info Not Available","https://www.indicure.com/assets/img/2022/01/Dr-Aggarwal-eye-hospital-navi-mumbai.webp","Navi Mumbai","Dr. Agarwal's Eye Hospital is a chain of eye specialty hospitals in India, headquartered at Chennai. It has grown to 150+ centres across India and 15 centres overseas. The hospital has received numerous awards and accolades for its excellence in eye care, including Best Eye Hospital in India by The Week-Nielsen Survey, Best Eye Hospital in Asia by Frost & Sullivan, National Quality Award by the Government of India.Dr Agarwal's Eye Hospital, Vashi Mumbai is known for providing world-class eye care services at affordable prices. The hospital has a team of highly experienced and qualified eye specialists who offer a wide range of services, including Cataract surgery, LASIK surgery, Glaucoma treatment, Retina treatment, Pediatric ophthalmology, Oculoplastics, Cornea surgery, Uveitis treatment."
"Insight Eye Clinic, Mumbai","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Insight-Eye-Clinic,-Mumbai.jpg.webp","Mumbai","Insight Eye Clinic is a cutting-edge and one of Mumbai's leading eye care centres, delivering high-quality eye care. The facility is well equipped with eye care experts, specially trained staff, and the latest in eye care technology to ensure that the patients are treated with the utmost care and warmth.They are specialized in the treatments of vitreous and retinal diseases. Dr. Nishikant Borse, the chief surgeon is the foremost Retinal surgeon of India, with experience of 17 years in dealing with complex retina cases."
"Shroff Eye Hospital, Mumbai","Ophthalmology","https://www.indicure.com/assets/img/2022/02/Shroff-Eye-Hospital-Mumbai.jpg.webp","Mumbai","Shroff Eye Hospital is counted among the best eye hospitals, not only in Mumbai but in India and beyond. Established in 1919 by renowned Dr. C N Shroff, Shroff Eye Hospital has stood for excellence in eye care since its inception.With more than 94 years of experience in delivering eye care, the hospital offers a full array of state-of-the-art equipment and a high safety environment to treat eye problems accurately, safely, and effectively. Accredited by JCI and ISO certification, the hospital has many firsts to its credit not only in performing eye treatments for the first time in India; but being the first eye hospital to have JCI accreditation."
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon","Fortis Memorial Research Institute (FMRI), the flagship hospital of Fortis Healthcare, is a multi-specialty, quaternary care hospital and is counted among not only the best hospitals in New Delhi, but also one of the best hospitals in India and the world.The hospital is located in Gurgaon or NCR (National Capital Region), on the outskirts of Delhi. Besides being a premium referral healthcare facility, it endeavors to be the 'Mecca of Healthcare' for the Asia Pacific and beyond.The hospital is set on a spacious 11 acres campus, with 1000 beds, is equipped with state-of-the-art technology. FMRI is the first to bring the most advanced technology not only in India or Asia, but few are the first to be introduced in the world."
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi","BL Kapur Memorial Hospital was one of the biggest standalone private hospitals in Delhi, NCR, now taken over by Max Group of hospitals. Established by late Dr. B L Kapur, an eminent Obstetrician, and Gynecologist on invitation by then Prime Minister of India, Mr. Jawahar Lal Nehru. The institute went on to become one of Delhi's premier multi-specialty hospitals. BLK Max Hospital has consistently ranked among the Top 10 Multi Super Speciality Hospitals in India.Accredited by JCI, USA, the institute has 650 beds with dedicated 125 critical care beds and over 150 specialties making it one of the best hospitals in New Delhi and India. Equipped with the most advanced technology, BLK is well renowned for Bone Marrow Transplants and other highly specialized treatments like Heart transplant."
"Kokilaben Dhirubhai Ambani Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Kokilaben-Dhirubhai-Ambani-Hospital-Mumbai.jpg.webp","Mumbai","Kokilaben Dhirubhai Ambani Hospital stands as one of India's most cutting-edge and contemporary medical facilities. Situated in the largest suburb of Mumbai, it is a state-of-the-art tertiary care multi-specialty hospital.Cardiology and Cardiac care are one of the hospital's major specialties. The cardiac centre of excellence offers a comprehensive program that covers the full spectrum of heart disease management, spanning from new-borns to adults. This program encompasses prevention, diagnosis, treatment, and rehabilitation services.This best heart hospital in India is backed by accomplished experts who have performed more than 1700 Coronary Angioplasties and 6200 Cardiac Surgeries."
"Centre for Sight, Mumbai","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Centre-for-Sight-Eye-Hospital,-Juhu-Vile-Parle.jpg.webp","Mumbai","The New Vision Laser Centre (CFS-NVLC) group's Centre for Sight Eye Hospital in Juhu Vile Parle, Mumbai is a single-specialty, sophisticated eye treatment centre that provides comprehensive eye care services.The edifice is a multi-story structure with state-of-the-art medical facilities. The latest in eye-care technologies is available at the Centre. The Catalys laser, The Lensx laser, VisuMax, Intralase Femtosecond Laser, Ocular Surface Analyzer, specialized microscopes, Sirrus Topographer, Auto Refractometers, direct and indirect ophthalmoscopes, and Oculus Pentacam are just a few of the modern medical equipment available."
"Apollo Spectra Hospital, Hyderabad","Multi-Speciality","https://www.indicure.com/assets/img/best-hospitals/Hyderabad/Apollo-Spectra-Hospital,-Hyderabad.jpg.webp","Hyderabad","Apollo Spectra Hospital is a multi-specialty hospital in Hyderabad that offers world-class medical care.The hospital, which has a capacity of 21 beds, provides expert care in a variety of specialties, including urology, orthopedics and spine surgery, ENT, bariatric surgery, and ENT.Ophthalmology, gastroenterology, general medicine, and plastic and cosmetic surgery are among the medical disciplines offered at the facility."
"Zamindar's Microsurgical Eye Hospital, Bangalore","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Bangalore/Dr-Zamindar_s-Microsurgical-Eye-Hospital,-Bangalore.jpg.webp","Bangalore","Zamindar's Microsurgical Eye Centre (ZMEC), which was founded in 1997, has been offering high-quality eye care to patients in and around Bangalore for the past 25 years. Their patients vouch for their services, and they are highly regarded for offering best-in-class eye treatment.The motto of Dr. Zamindar's Microsurgical Eye Centre is 'Quality is not an accident, but the outcome of deliberate efforts.' The hospital has been a premium supplier of best-in-class eye care services since 1997, making them one of The Top Eye Hospitals in Bangalore, with a success rate of 99.9% in performing cataract procedures."
"Centre for Sight, New Delhi","Ophthalmology","https://www.indicure.com/assets/img/best-hospitals/Delhi/Center-for-sight,-New-Delhi.jpg.webp","New Delhi","It is one of India's most prestigious eye hospitals, with 47 locations around the country.A large panel of roughly 145 doctors, all of them highly skilled and experienced in their specialties, work together to give flawless treatment for all types of ailments.The hospital received the coveted Frost & Sullivan award for Eye Care Provider Company of the Year in 2010 and 2014, as well as the FICCI Healthcare Performance award for operational excellence in 2012."
