HospitalName,Speciality,HospitalImage,Location,Description
"Wockhardt Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Wockhardt-Hospitals-360x223.jpg.webp","Mumbai","Wockhardt Hospitals is the hospital branch of the leading Wockhardt pharmaceutical company in India. The company is more than 4 decades old and is present in more than 20 countries around the globe. Wockhardt has 9 facilities in India in Mumbai, Nagpur, Rajkot, Nasik, and Surat.Wockhardt Hospital, South Mumbai is one of the most famous and advanced facilities of the Wockhardt group. Accredited by JCI, NABH and NABL, Wockhardt hospital, South Mumbai is a tertiary care multi super-specialty hospital offering state-of-the-art facilities and international standards of care.In pursuance of its vision to establish state-of-the-art medical facilities in India along with a high degree of clinical excellence, the hospital has entered into strategic alliances with Partners Medical International, USA, whereby Wockhardt has access to Harvard's expertise and experience in the fields of surgery and other Medicare services, making it one of the best hospitals in Mumbai."
"Artemis Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Artemis-Health-Institute-360x223.jpg.webp","Gurgaon","Artemis Health Institute is an initiative by the owners of Apollo Tyres into healthcare. Spread over 9 acres, Artemis is a 300 bedded multi-super specialty tertiary care hospital located at Gurgaon, in the National Capital Region, Delhi. Artemis was the first hospital in Haryana to get NABH accreditation within 3 years of its start-up. The hospital then added another feather in its cap in a few years of its startup- Artemis got the gold standard in healthcare accreditation – JCI, USA accreditation and became the first and only hospital in Gurgaon to be accredited by Joint Commission International (JCI, USA) in 2013.Besides having a robust infrastructure, Artemis hospital offers the most modern techniques for treatment and the most advanced surgical procedures."
"Fortis Flt. Rajan Dhall Hospital, Vasant Kunj, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Fortis-Flt.-Lt.-Rajan-Dhall-Hospital,-Vasant-Kunj,-New-Delhi.jpg.webp","New Delhi","The Fortis Flt. Lt. Rajan Dhall Hospital is a multi-specialty tertiary hospital that is NABH accredited.Internal medicine, endocrinology, dermatology, diabetes, general surgery, infertility, speech therapy, sports medicine, rheumatology, and a variety of other specialties are available.Organ Transplant, Neurosurgery and Spine Surgery, Critical Care are among the centres of excellence."
"La Midas Hospital, Gurgaon","Specializes in Aesthetic Surgery","https://www.indicure.com/assets/img/best-hospitals/Gurgaon/La Midas, Gurgaon.jpg.webp","Gurgaon","La Midas is an internationally acclaimed and award-winning aesthetic surgery clinic. The medical team at the hospital is committed to providing the finest quality aesthetic and plastic surgery services in Gurgaon and Delhi NCR.Through excellent and innovative aesthetic services, the clinic aims to provide its patients with the best treatment and care in the fields of beauty, health, and wellness. At reasonable pricing, the clinic provides a full range of non-surgical and surgical aesthetic treatments for the hair, skin, and body.La Midas, has garnered the reputation of using state of the art equipment that has been certified by the US Food and Drug Administration and for providing a tailored treatment plan. It provides aesthetic surgery treatments using cutting-edge equipment and technology."
"Saifee Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Saifee-Hospital,-Mumbai.jpg.webp","Mumbai","Saifee Hospital was founded in 2005 and is ISO and NABL accredited. There was an old Saifee Hospital that has been in operation since 1948. In 2001, work on a new hospital on the site of an old one began. The new hospital was inaugurated in June 2005 in the presence of Dr. Manmohan Singh, India's former Prime Minister.This hospital was named after Syedna Mohammad Burhanuddin's father, Syedna Taher Saifuddin.This multi-specialty hospital offers a wide range of services, from easy Day-care treatments to acute care emergency medicine and sophisticated Cardiac surgery. It has India's first LASIK (advanced laser eye surgery) suite."
"Surya Hospital, Mumbai","Women & Child care, IVF","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Surya-Hospital-Mumbai.webp","Mumbai","Surya Hospitals in Mumbai stand at the forefront of pioneering innovative Mother & Child Care services, dedicated to bringing cutting-edge facilities. With a commitment to excellence, the hospital is equipped to deliver top-notch care to patients, especially women and children, ensuring adherence to rigorous standards of quality and safety at every stage of treatment.With an experience of over three decades, the hospitals have embraced the most recent medical breakthroughs and state-of-the-art technology to guarantee superior clinical results and patient satisfaction. Originating as a humble 22-bed pediatric nursing home in Mumbai, the organization has evolved into a network of hospitals with a bed capacity of 200+, emerging as one of Asia's most rapidly expanding single-specialty hospital chains, with intentions to establish new facilities across multiple cities of India."
"Fortis La Femme, Vasant Kunj, Delhi","Multi-Speciality","https://www.indicure.com/assets/img/2022/02/Fortis-La-Femme-New-Delhi.jpg.webp","Delhi","Fortis La Femme, founded in 2004, is a multi-specialty hospital that provides care for all periods of a woman's life, including birth, motherhood, menopause, and beyond.The hospital was named the winner of the 'Most Popular Maternity Hospitals' category in Child magazine's Most Popular Awards 2013. More than 11,000 deliveries and 7,500 Gynaecology operations have been performed."
"Apollo Spectra Hospital, Chembur, Mumbai","Multi-Speciality","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Apollo-Spectra-Hospital,-Chembur.jpg.webp","Mumbai","Apollo Spectra is a state-of-the-art specialty hospital. It is dedicated to bringing together excellent medical services and the finest healthcare management techniques. Bariatric Surgery, ENT specialties including Thyroid Surgery, General & Laparoscopic Surgery, Orthopedics & Spine surgery, Urology, and Varicose Veins, to name a few, are among the surgical specialties offered at the hospital.The hospital has 4 ultra-modern modular OTs, a state-of-the-art rehabilitation centre, an in-house pharmacy, and a waiting lounge for in-patients' families, to mention a few amenities. Over 125 healthcare experts, including 90 specialty specialists, are dedicated to setting a new standard in healthcare services with the single-minded goal of providing uncomplicated quality healthcare.The best part is the personalized services and care one can expect at the hospital, dedicated only to clean and elective surgeries, making it one of the most unique and best hospitals in Mumbai."
"MGM Hospital, Navi Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/mgm-hospital-mumbai.jpg.webp","Mumbai","MGM Hospital is a landmark hospital in Mumbai caring for patients since 1982. Mahatma Gandhi Mission Trust is the parent body of the hospital, which has been providing state of the art healthcare facilities to patients across the world since its inception.It is a chain of hospitals all across India known for its patient centric care, excellent medical practices and state of the art technology.The hospital is NABH, ISO 9001:2015 certified organization. MGM hospital is a technologically advanced institution designed to international standards and the most stringent criteria in infrastructure, medical care and patient friendly facilities. This is because every element that comprises the hospital's making- from the premises, to the processes, to its professionals, contribute to overriding principles- Respect for patients and their families."
"Gorgeous Looks Plastic Surgery & Hair Transplant Centre, New Delhi","Plastic Surgery & Hair Transplant","https://www.indicure.com/assets/img/2022/03/Gorgeous-Looks-Plastic-Surgery-Hair-Transplant.jpg.webp","New Delhi","Gorgeous Looks Cosmetic Plastic Surgery and Hair Transplant Centre is a Delhi-based cosmetic/plastic surgery and hair transplant surgery centre.Dr. Charu Sharma, an award-winning plastic surgeon, is the clinic's director. The clinic is fully equipped with the most up-to-date technologies in the field of surgery."
